Controller,Period,Interval,Minutes_outside,Mean_distance_to_optimal_temperature,Total_daily_distance_to_setpoints,Mean_distance_to_setpoints
Bang-Bang,winter,1,1209,1.1233169456596488,46.58574594770159,0.24546970543585891
UPPAAL Q-Learning,winter,1,741.9513621898969,1.5145170611810883,311.71822381672473,0.3007966452121779
UPPAAL M-Learning,winter,1,738.1965745010389,1.5269699715227794,311.29494939241783,0.30015933850520227
Bang-Bang,winter,4,1301,1.124059713827506,45.011434010096956,0.2138337523341899
UPPAAL Q-Learning,winter,4,611.5051389974095,1.2596882592705347,301.84677149387056,0.3571965857973752
UPPAAL M-Learning,winter,4,610.5175113367054,1.35192562436894,309.28581228490157,0.36192068503486563
Bang-Bang,winter,12,1191,1.1228739037543876,42.628802980695454,0.21234210227465403
UPPAAL Q-Learning,winter,12,960.4876682617789,1.07526340971068,310.9606832162407,0.3003639789220651
UPPAAL M-Learning,winter,12,991.2746584016004,1.124592689542888,312.600717396077,0.2994182059377316
Bang-Bang,winter,24,1149,1.128642610845905,42.575625555855886,0.21387052522952185
UPPAAL Q-Learning,winter,24,1328.691572107976,1.1768979356939009,412.4505963797058,0.314545458322747
UPPAAL M-Learning,winter,24,1286.865246108369,1.1629260891225097,379.2454845338879,0.30349692269997125
Bang-Bang,spring,1,1331,0.9626490028099315,89.72858537946429,0.5132434752308032
UPPAAL Q-Learning,spring,1,254.13586785541776,0.655063772826943,36.92440792330517,0.16487145638929604
UPPAAL M-Learning,spring,1,251.85189939156248,0.6557108597368426,37.03606836079327,0.1665496627020813
Bang-Bang,spring,4,1324,0.9612174538627692,87.09418160574776,0.34947184230953116
UPPAAL Q-Learning,spring,4,393.999992,0.6514343149994496,46.29611530225843,0.1744123550275578
UPPAAL M-Learning,spring,4,393.7572412369272,0.6668612535723452,46.20135574931659,0.17331566761905645
Bang-Bang,spring,12,1336,0.9535334536860569,85.91088104248047,0.22814835399210281
UPPAAL Q-Learning,spring,12,512.2305240100366,0.6693429012250365,81.11764762063736,0.1726085628516795
