watt,temp
4.0437011719,23.0
4.0437011719,23.0
4.0437011719,23.0
4.0437011719,23.0
4.0437011719,23.0
4.0437011719,22.5
4.0437011719,23.0
4.0437011719,23.0
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,23.0
4.0437011719,23.0
4.0437011719,23.0
4.0437011719,22.5
4.0437011719,23.0
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,23.0
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,23.0
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,23.0
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,23.0
4.0437011719,23.0
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,23.0
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,23.0
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,23.0
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,23.0
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,23.0
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,23.0
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,23.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
4.0437011719,22.5
