time,solar_watt,room_temp,ambient_temp,heating_setpoint,cooling_setpoint
2024-11-25 00:14:00+00:00,2.9705810547,21.2,14.6,21.0,25.0
2024-11-25 00:29:00+00:00,2.9705810547,21.1,14.6,21.0,25.0
2024-11-25 00:44:00+00:00,2.9705810547,21.2,14.7,21.0,25.0
2024-11-25 00:59:00+00:00,2.9705810547,21.1,14.7,21.0,25.0
2024-11-25 01:15:00+00:00,2.9705810547,20.9,14.7,22.0,24.0
2024-11-25 01:30:00+00:00,2.9705810547,21.1,14.3,22.0,24.0
2024-11-25 01:46:00+00:00,2.9705810547,21.2,14.3,22.0,24.0
2024-11-25 02:01:00+00:00,2.9705810547,21.1,14.3,22.0,24.0
2024-11-25 02:16:00+00:00,2.9705810547,21.1,14.3,22.0,24.0
2024-11-25 02:31:00+00:00,2.9705810547,21.2,13.9,22.0,24.0
2024-11-25 02:46:00+00:00,2.9705810547,21.3,13.9,22.0,24.0
2024-11-25 03:01:00+00:00,2.9705810547,21.2,13.9,22.0,24.0
2024-11-25 03:16:00+00:00,2.9705810547,21.2,13.9,22.0,24.0
2024-11-25 03:31:00+00:00,2.9705810547,21.3,14.1,22.0,24.0
2024-11-25 03:46:00+00:00,2.9705810547,21.2,14.1,22.0,24.0
2024-11-25 04:01:00+00:00,2.9705810547,21.4,14.1,22.0,24.0
2024-11-25 04:17:00+00:00,2.9705810547,21.1,14.1,22.0,24.0
2024-11-25 04:32:00+00:00,2.9705810547,21.4,14.0,22.0,24.0
2024-11-25 04:47:00+00:00,2.9705810547,21.3,14.0,22.0,24.0
2024-11-25 05:02:00+00:00,2.9705810547,21.3,14.0,22.0,24.0
2024-11-25 05:17:00+00:00,2.9705810547,21.4,14.0,22.0,24.0
2024-11-25 05:32:00+00:00,2.9705810547,21.3,13.4,22.0,24.0
2024-11-25 05:47:00+00:00,2.9705810547,21.4,13.4,22.0,24.0
2024-11-25 06:02:00+00:00,2.9705810547,21.4,13.4,22.0,24.0
2024-11-25 06:17:00+00:00,2.9705810547,21.3,13.4,22.0,24.0
2024-11-25 06:32:00+00:00,2.9705810547,21.1,11.8,22.0,24.0
2024-11-25 06:47:00+00:00,2.9705810547,21.2,11.8,22.0,24.0
2024-11-25 07:02:00+00:00,2.9705810547,21.2,11.8,22.0,24.0
2024-11-25 07:17:00+00:00,2.9705810547,21.4,11.8,22.0,24.0
2024-11-25 07:32:00+00:00,2.9705810547,21.2,11.2,22.0,24.0
2024-11-25 07:47:00+00:00,2.9705810547,21.3,11.2,22.0,24.0
2024-11-25 08:02:00+00:00,2.9705810547,21.3,11.2,22.0,24.0
2024-11-25 08:17:00+00:00,2.9705810547,20.9,11.2,22.0,24.0
2024-11-25 08:33:00+00:00,2.9705810547,21.0,11.3,22.0,24.0
2024-11-25 08:49:00+00:00,7.0645751953,21.5,11.3,22.5,23.5
2024-11-25 09:04:00+00:00,9.1044921875,22.0,11.3,22.5,23.5
2024-11-25 09:19:00+00:00,7.0727539062,22.4,11.3,22.5,23.5
2024-11-25 09:34:00+00:00,11.3898925781,22.6,11.2,22.5,23.5
2024-11-25 09:49:00+00:00,13.4398193359,22.6,11.2,22.5,23.5
2024-11-25 10:04:00+00:00,13.4398193359,22.8,11.2,22.5,23.5
2024-11-25 10:19:00+00:00,15.4633789062,22.8,11.2,22.5,23.5
2024-11-25 10:34:00+00:00,15.4633789062,22.7,11.2,22.5,23.5
2024-11-25 10:49:00+00:00,15.4633789062,22.8,11.2,22.5,23.5
2024-11-25 11:04:00+00:00,19.4951171875,22.9,11.2,22.5,23.5
2024-11-25 11:19:00+00:00,21.5451660156,22.8,11.2,23.5,24.5
2024-11-25 11:35:00+00:00,30.0128173828,23.2,11.5,23.5,24.5
